project,category,file,line,pattern,severity,status,notes
rocfft,cmake-build,CMakeLists.txt,34,"set(CMAKE_INSTALL_PREFIX ""/opt/rocm"" CACHE PATH ...)",high,untriaged,Default install prefix; overridden by TheRock via -DCMAKE_INSTALL_PREFIX but problematic for standalone
rocfft,cmake-build,CMakeLists.txt,55,"find_package(ROCmCMakeBuildTools PATHS ${ROCM_PATH} /opt/rocm)",medium,untriaged,Hardcoded fallback path in find_package
rocfft,cmake-build,CMakeLists.txt,179,"find_package(hip REQUIRED CONFIG PATHS /opt/rocm/lib/cmake/hip/)",high,untriaged,Could find system hip instead of build-tree hip
rocfft,cmake-build,CMakeLists.txt,180,"find_package(hiprtc REQUIRED CONFIG PATHS /opt/rocm/lib/cmake/hiprtc/)",high,untriaged,Could find system hiprtc instead of build-tree hiprtc
rocfft,cmake-build,CMakeLists.txt,275,"set(CMAKE_INSTALL_PREFIX ""C:/hipSDK"" CACHE PATH ... FORCE)",high,untriaged,FORCE overrides user-specified install prefix
rocfft,cmake-build,clients/CMakeLists.txt,33,"set(CMAKE_INSTALL_PREFIX ""/opt/rocm"" CACHE PATH ...)",medium,untriaged,Default install prefix in clients subdir
rocfft,cmake-build,clients/CMakeLists.txt,35,"set(CPACK_PACKAGING_INSTALL_PREFIX ""/opt/rocm"" ...)",low,untriaged,CPack prefix; only affects standalone packaging
rocfft,cmake-build,clients/bench/CMakeLists.txt,31,"set(CMAKE_INSTALL_PREFIX ""/opt/rocm"" CACHE PATH ...)",medium,untriaged,Default install prefix in bench
rocfft,cmake-build,clients/bench/CMakeLists.txt,56,"find_package(hip REQUIRED PATHS /opt/rocm/lib/cmake/hip/)",medium,untriaged,Hardcoded hip search path
rocfft,cmake-build,clients/samples/fixed-large/CMakeLists.txt,31,"set(CMAKE_INSTALL_PREFIX ""/opt/rocm"" CACHE PATH ...)",medium,untriaged,Default install prefix
rocfft,cmake-build,clients/samples/fixed-large/CMakeLists.txt,52,"find_package(hip REQUIRED PATHS /opt/rocm/lib/cmake/hip/)",medium,untriaged,Hardcoded hip search path
rocfft,cmake-build,clients/samples/fixed-16/CMakeLists.txt,31,"set(CMAKE_INSTALL_PREFIX ""/opt/rocm"" CACHE PATH ...)",medium,untriaged,Default install prefix
rocfft,cmake-build,clients/samples/fixed-16/CMakeLists.txt,52,"find_package(hip REQUIRED PATHS /opt/rocm/lib/cmake/hip/)",medium,untriaged,Hardcoded hip search path
rocfft,cmake-build,clients/samples/rocfft/CMakeLists.txt,31,"set(CMAKE_INSTALL_PREFIX ""/opt/rocm"" CACHE PATH ...)",medium,untriaged,Default install prefix
rocfft,cmake-build,clients/samples/rocfft/CMakeLists.txt,52,"find_package(hip REQUIRED PATHS /opt/rocm/lib/cmake/hip/)",medium,untriaged,Hardcoded hip search path
rocfft,cmake-build,clients/samples/multi_gpu/CMakeLists.txt,31,"set(CMAKE_INSTALL_PREFIX ""/opt/rocm"" CACHE PATH ...)",medium,untriaged,Default install prefix
rocfft,cmake-build,clients/samples/multi_gpu/CMakeLists.txt,52,"find_package(hip REQUIRED PATHS /opt/rocm/lib/cmake/hip/)",medium,untriaged,Hardcoded hip search path
rocfft,cmake-build,clients/samples/CMakeLists.txt,31,"set(CMAKE_INSTALL_PREFIX ""/opt/rocm"" CACHE PATH ...)",medium,untriaged,Default install prefix
rocfft,cmake-build,clients/samples/mpi/CMakeLists.txt,31,"set(CMAKE_INSTALL_PREFIX ""/opt/rocm"" CACHE PATH ...)",medium,untriaged,Default install prefix
rocfft,cmake-build,clients/samples/mpi/CMakeLists.txt,52,"find_package(hip REQUIRED PATHS /opt/rocm/lib/cmake/hip/)",medium,untriaged,Hardcoded hip search path
rocfft,cmake-build,clients/tests/CMakeLists.txt,31,"set(CMAKE_INSTALL_PREFIX ""/opt/rocm"" CACHE PATH ...)",medium,untriaged,Default install prefix
rocfft,cmake-build,clients/tests/CMakeLists.txt,56,"find_package(hip REQUIRED PATHS /opt/rocm/lib/cmake/hip/)",medium,untriaged,Hardcoded hip search path
rocfft,cmake-build,clients/tests/CMakeLists.txt,498-499,"find_program(clang-offload-bundler HINTS ${ROCM_PATH}/llvm/bin PATHS /opt/rocm/llvm/bin)",medium,untriaged,Hardcoded tool search path
rocfft,cmake-build,clients/tests/CMakeLists.txt,506-507,"find_program(llvm-objdump HINTS ${ROCM_PATH}/llvm/bin PATHS /opt/rocm/llvm/bin)",medium,untriaged,Hardcoded tool search path
rocfft,cmake-build,deps/CMakeLists.txt,32,"set(CMAKE_INSTALL_PREFIX ... FORCE)",high,untriaged,FORCE overrides user-specified install prefix
rocfft,toolchain,toolchain-linux.cmake,24,"$ENV{ROCM_PATH}/bin",low,untriaged,Env var read in toolchain; TheRock doesn't use this file
rocfft,toolchain,toolchain-linux.cmake,26-27,"set(ROCM_PATH ""/opt/rocm""); set(rocm_bin ""/opt/rocm/bin"")",low,untriaged,Hardcoded fallback; TheRock doesn't use this file
rocfft,toolchain,toolchain-windows.cmake,24,"$ENV{HIP_PATH}",low,untriaged,Env var read in toolchain; TheRock doesn't use this file
rocfft,toolchain,toolchain-windows.cmake,27,"$ENV{HIP_DIR}",low,untriaged,Env var read in toolchain; TheRock doesn't use this file
rocfft,python,rmake.py,175,"os.getenv('ROCM_PATH', ""/opt/rocm"")",low,untriaged,Standalone build helper; not used by TheRock
rocfft,python,library/src/device/generator.py,71,"/opt/rocm/llvm/bin/clang-format",low,triaged,Should resolve clang-format relative to current ROCm install; has fallback to skip formatting
rocfft,python,library/src/device/generator.py,88,"/opt/rocm/llvm/bin/clang-format",low,triaged,Should resolve clang-format relative to current ROCm install; has fallback to skip formatting
rocfft,python,scripts/perf/perflib/specs.py,124-127,"/opt/rocm/.info/version-utils and /opt/rocm/.info/version",low,untriaged,Hardcoded version info path
rocfft,shell,install.sh,380,"rocm_path=/opt/rocm",low,untriaged,Standalone install script; not used by TheRock
rocfft,shell,install.sh,385,"rpath /opt/rocm/lib:/opt/rocm/lib64",medium,untriaged,Hardcoded rpath could cause runtime issues
rocfft,shell,install.sh,424,"export PATH=${PATH}:/opt/rocm/bin",low,untriaged,Standalone install script
rocfft,shell,install.sh,492,"CPACK_PACKAGING_INSTALL_PREFIX=/opt/rocm",low,untriaged,Standalone install script
rocfft,shell,.githooks/pre-commit,7,"/opt/rocm/llvm/bin/clang-format",low,untriaged,Dev tooling; not a build/install issue
composablekernel,cmake-build,CMakeLists.txt,33,/opt/rocm,medium,untriaged,CMAKE_INSTALL_PREFIX default (overridable)
composablekernel,cmake-build,CMakeLists.txt,181,/opt/rocm,high,untriaged,find_package(ROCM PATHS /opt/rocm) could find system libs
composablekernel,cmake-build,CMakeLists.txt,195,/opt/rocm,high,untriaged,CMAKE_PREFIX_PATH appends /opt/rocm and env vars
composablekernel,cmake-build,CMakeLists.txt,195,$ENV{ROCM_PATH},medium,untriaged,env var read appended to CMAKE_PREFIX_PATH
composablekernel,cmake-build,CMakeLists.txt,195,$ENV{HIP_PATH},medium,untriaged,env var read appended to CMAKE_PREFIX_PATH
composablekernel,cmake-build,codegen/CMakeLists.txt,18,/opt/rocm,high,untriaged,CMAKE_PREFIX_PATH appends /opt/rocm
composablekernel,cmake-build,codegen/CMakeLists.txt,18,$ENV{ROCM_PATH},medium,untriaged,env var read in CMAKE_PREFIX_PATH
composablekernel,cmake-build,codegen/test/CMakeLists.txt,4,/opt/rocm,high,untriaged,CMAKE_PREFIX_PATH appends /opt/rocm
composablekernel,cmake-build,client_example/CMakeLists.txt,92,/opt/rocm,high,untriaged,find_package(hip PATHS /opt/rocm)
composablekernel,cmake-build,dispatcher/CMakeLists.txt,16,/opt/rocm,high,untriaged,CMAKE_PREFIX_PATH appends /opt/rocm
composablekernel,cmake-build,cmake/CppCheck.cmake,12,/opt/rocm,low,untriaged,find_program PATHS for cppcheck
composablekernel,cmake-build,cmake/ClangTidy.cmake,25,/opt/rocm,low,untriaged,find_program PATHS for clang-tidy
composablekernel,cpp-install,codegen/test/rtc/src/compile_kernel.cpp,88,/opt/rocm,high,untriaged,hardcoded compiler path in C++ source
composablekernel,cpp-install,tile_engine/ops/gemm_streamk/gemm_streamk_benchmark.hpp,147,/opt/rocm,medium,untriaged,reads /opt/rocm/.info/version at runtime
composablekernel,cpp-install,tile_engine/ops/gemm/gemm_universal/gemm_benchmark.hpp,141,/opt/rocm,medium,untriaged,reads /opt/rocm/.info/version at runtime
composablekernel,cpp-install,tile_engine/ops/gemm/gemm_preshuffle/gemm_preshuffle_benchmark.hpp,142,/opt/rocm,medium,untriaged,reads /opt/rocm/.info/version at runtime
composablekernel,cpp-install,tile_engine/ops/gemm/gemm_multi_d/gemm_multi_d_benchmark.hpp,144,/opt/rocm,medium,untriaged,reads /opt/rocm/.info/version at runtime
composablekernel,python,dispatcher/scripts/parallel_kernel_builder.py,24,/opt/rocm,low,untriaged,hardcoded hipcc path fallback
composablekernel,python,dispatcher/scripts/example_kernel_builder.py,25,/opt/rocm,low,untriaged,hardcoded hipcc path fallback
composablekernel,python,dispatcher/scripts/example_kernel_builder.py,33,/opt/rocm,low,untriaged,hardcoded llvm-ar path fallback
composablekernel,python,dispatcher/scripts/compile_gemm_examples.py,77,/opt/rocm,low,untriaged,hardcoded hipcc path fallback
composablekernel,python,dispatcher/python/ctypes_utils.py,660,/opt/rocm,low,untriaged,hardcoded hipcc path fallback
composablekernel,python,dispatcher/codegen/generate_kernel_wrappers.py,192,/opt/rocm,medium,untriaged,hardcoded -I/opt/rocm/include and -L/opt/rocm/lib in generated build files
composablekernel,shell,script/hipclang_opt.sh,8,/opt/rocm,low,untriaged,hardcoded llvm tool paths in dev script
hipblas,cmake-build,CMakeLists.txt,36,/opt/rocm,medium,untriaged,CMAKE_INSTALL_PREFIX default (overridable)
hipblas,cmake-build,CMakeLists.txt,51,/opt/rocm,high,untriaged,CMAKE_MODULE_PATH appends /opt/rocm paths
hipblas,cmake-build,CMakeLists.txt,54,/opt/rocm,high,untriaged,CMAKE_PREFIX_PATH appends /opt/rocm paths
hipblas,cmake-build,CMakeLists.txt,86,/opt/rocm,high,untriaged,find_package(hip PATHS /opt/rocm)
hipblas,cmake-build,CMakeLists.txt,218,CMAKE_INSTALL_PREFIX FORCE,high,untriaged,FORCE override on Windows (C:/hipSDK)
hipblas,cmake-build,CMakeLists.txt,285,/opt/rocm,low,untriaged,find_program(clang-offload-bundler) PATHS /opt/rocm/llvm/bin
hipblas,cmake-build,CMakeLists.txt,293,/opt/rocm,low,untriaged,find_program(llvm-objcopy) PATHS /opt/rocm/llvm/bin
hipblas,cmake-build,library/src/CMakeLists.txt,75,/opt/rocm,high,untriaged,find_package(rocblas PATHS /opt/rocm)
hipblas,cmake-build,library/src/CMakeLists.txt,98,/opt/rocm,high,untriaged,find_package(rocsolver PATHS /opt/rocm)
hipblas,cmake-build,clients/CMakeLists.txt,110,/opt/rocm,medium,untriaged,CMAKE_INSTALL_PREFIX default for clients
hipblas,cmake-build,deps/CMakeLists.txt,32,CMAKE_INSTALL_PREFIX FORCE,medium,untriaged,FORCE to build-tree package dir (deps only)
hipblas,toolchain,toolchain-linux.cmake,10,/opt/rocm,low,untriaged,rocm_bin default path
hipblas,toolchain,toolchain-linux.cmake,8,$ENV{ROCM_PATH},low,untriaged,env var read for rocm_bin
hipblas,toolchain,toolchain-windows.cmake,3,$ENV{HIP_PATH},low,untriaged,env var read for HIP_DIR
hipblas,toolchain,toolchain-windows.cmake,6,$ENV{HIP_DIR},low,untriaged,env var read fallback for HIP_DIR
hipblas,python,rmake.py,187,/opt/rocm,low,untriaged,ROCM_PATH env fallback to /opt/rocm
hipblas,python,rmake.py,295,/opt/rocm,low,untriaged,ROCM_RPATH env fallback to /opt/rocm/lib
hipblas,shell,install.sh,403,/opt/rocm,low,untriaged,rocm_path default
hipblas-common,cmake-build,CMakeLists.txt,20,CMAKE_INSTALL_PREFIX FORCE,high,untriaged,FORCE overrides user CMAKE_INSTALL_PREFIX to /opt/rocm
hipblas-common,python,rmake.py,105,/opt/rocm,low,untriaged,ROCM_PATH env fallback to /opt/rocm
hipblaslt,cmake-build,CMakeLists.txt,49,CMAKE_INSTALL_PREFIX FORCE,high,untriaged,FORCE overrides user CMAKE_INSTALL_PREFIX to /opt/rocm
hipblaslt,cmake-build,CMakeLists.txt,617,/opt/rocm,low,untriaged,find_program(clang-offload-bundler) PATHS
hipblaslt,cmake-build,CMakeLists.txt,624,/opt/rocm,low,untriaged,find_program(llvm-objcopy) PATHS
hipblaslt,cmake-build,deps/CMakeLists.txt,34,CMAKE_INSTALL_PREFIX FORCE,medium,untriaged,FORCE to build-tree package dir (deps only)
hipblaslt,cpp-install,library/src/amd_detail/hipblaslt-ext-op.cpp,117,/opt/rocm,high,untriaged,hardcoded runtime library path for ExtOpLibrary.dat
hipblaslt,cpp-install,library/src/amd_detail/rocblaslt/src/tensile_host.cpp,71,/opt/rocm,high,untriaged,#define HIPBLASLT_LIB_PATH /opt/rocm/lib
hipblaslt,cpp-install,library/src/amd_detail/rocblaslt/src/rocblaslt_transform.cpp,53,/opt/rocm,high,untriaged,hardcoded runtime path for hipblasltTransform.hsaco
hipblaslt,cpp-install,library/src/amd_detail/rocblaslt/src/rocroller/custom_kernels.cpp,48,/opt/rocm,high,untriaged,hardcoded default_lib_path fallback
hipblaslt,python,tensilelite/Tensile/Toolchain/Validators.py,33,/opt/rocm,medium,untriaged,DEFAULT_ROCM_BIN_PATH_POSIX fallback
hipblaslt,python,tensilelite/Tensile/Common/GlobalParameters.py,579,/opt/rocm,medium,untriaged,ROCmPath default parameter
hipblaslt,python,tensilelite/rocisa/setup.py,18,/opt/rocm,low,untriaged,ROCM_PATH env fallback
hipblaslt,shell,install.sh,457,/opt/rocm,low,untriaged,rocm_path default
hipblaslt,shell,install.sh,730,/opt/rocm,low,untriaged,hardcoded rpath
hipcub,cmake-build,CMakeLists.txt,38,/opt/rocm,medium,untriaged,CMAKE_INSTALL_PREFIX default (overridable)
hipcub,cmake-build,CMakeLists.txt,87,/opt/rocm,medium,untriaged,ROCM_ROOT default to /opt/rocm
hipcub,cmake-build,CMakeLists.txt,85,$ENV{HIP_PATH},medium,untriaged,ROCM_ROOT from HIP_PATH env on Windows
hipcub,cmake-build,CMakeLists.txt,213,/opt/rocm,high,untriaged,find_package(rocprim PATHS /opt/rocm)
hipcub,cmake-build,CMakeLists.txt,218,/opt/rocm,high,untriaged,find_package(hipcub PATHS /opt/rocm)
hipcub,cmake-build,cmake/Dependencies.cmake,407,/opt/rocm,high,untriaged,ExternalProject CMAKE_PREFIX_PATH=/opt/rocm
hipcub,cmake-build,test/extra/CMakeLists.txt,34,/opt/rocm,medium,untriaged,ROCM_ROOT default
hipcub,cmake-build,test/extra/CMakeLists.txt,32,$ENV{HIP_PATH},medium,untriaged,ROCM_ROOT from HIP_PATH env
hipcub,cmake-build,test/CMakeLists.txt,90,/opt/rocm,low,untriaged,find_program PATHS for clang-offload-bundler
hipcub,cmake-build,test/CMakeLists.txt,98,/opt/rocm,low,untriaged,find_program PATHS for llvm-objcopy
hipcub,toolchain,toolchain-linux.cmake,5,/opt/rocm,low,untriaged,ROCM_PATH default
hipcub,toolchain,toolchain-linux.cmake,3,$ENV{ROCM_PATH},low,untriaged,env var for rocm_bin
hipcub,toolchain,toolchain-windows.cmake,7,$ENV{HIP_PATH},low,untriaged,env var for HIP_DIR
hipcub,toolchain,toolchain-windows.cmake,10,$ENV{HIP_DIR},low,untriaged,env var fallback for HIP_DIR
hipcub,python,rmake.py,115,/opt/rocm,low,untriaged,ROCM_PATH env fallback
hipcub,shell,install,34,/opt/rocm,low,untriaged,rocm_path default
hipdnn,cmake-build,CMakeLists.txt,47,CMAKE_INSTALL_PREFIX FORCE,medium,untriaged,FORCE to ROCM_PATH (variable not hardcoded)
hipdnn,cmake-build,CMakeLists.txt,50,CMAKE_INSTALL_PREFIX FORCE,medium,untriaged,FORCE to ROCM_CMAKE_PATH (variable not hardcoded)
hipdnn,cmake-build,cmake/CheckToolVersion.cmake,27,/opt/rocm,low,untriaged,LLVM_TOOL_PATHS includes /opt/rocm/llvm/bin
hipdnn,cmake-build,cmake/ClangToolChain.cmake,44,/opt/rocm,medium,untriaged,DEFAULT_ROCM_CMAKE_PATH set to /opt/rocm
hipdnn,cmake-build,cmake/ClangToolChain.cmake,84,$ENV{ROCM_PATH},low,untriaged,env var in error message
hipfft,cmake-build,CMakeLists.txt,36,/opt/rocm,medium,untriaged,CMAKE_INSTALL_PREFIX default (overridable)
hipfft,cmake-build,CMakeLists.txt,244,CMAKE_INSTALL_PREFIX FORCE,high,untriaged,FORCE on Windows (C:/hipSDK)
hipfft,cmake-build,cmake/dependencies.cmake,68,/opt/rocm,high,untriaged,find_package(ROCmCMakeBuildTools PATHS /opt/rocm)
hipfft,cmake-build,clients/CMakeLists.txt,40,/opt/rocm,high,untriaged,CMAKE_PREFIX_PATH includes /opt/rocm
hipfft,cmake-build,clients/tests/CMakeLists.txt,31,/opt/rocm,medium,untriaged,CMAKE_INSTALL_PREFIX default for test client
hipfft,cmake-build,clients/tests/CMakeLists.txt,37,/opt/rocm,high,untriaged,find_package(ROCmCMakeBuildTools PATHS /opt/rocm)
hipfft,cmake-build,clients/tests/CMakeLists.txt,359,/opt/rocm,low,untriaged,find_program PATHS for clang-offload-bundler
hipfft,cmake-build,clients/tests/CMakeLists.txt,367,/opt/rocm,low,untriaged,find_program PATHS for llvm-objcopy
hipfft,cmake-build,deps/CMakeLists.txt,34,CMAKE_INSTALL_PREFIX FORCE,medium,untriaged,FORCE to build-tree package dir (deps only)
hipfft,toolchain,toolchain-linux.cmake,26,/opt/rocm,low,untriaged,rocm_bin default
hipfft,toolchain,toolchain-linux.cmake,27,/opt/rocm,low,untriaged,ROCM_PATH default
hipfft,toolchain,toolchain-linux.cmake,24,$ENV{ROCM_PATH},low,untriaged,env var for rocm_bin
hipfft,toolchain,toolchain-windows.cmake,24,$ENV{HIP_PATH},low,untriaged,env var for HIP_DIR
hipfft,toolchain,toolchain-windows.cmake,27,$ENV{HIP_DIR},low,untriaged,env var fallback for HIP_DIR
hipfft,python,rmake.py,111,/opt/rocm,low,untriaged,ROCM_PATH env fallback
hiprand,cmake-build,CMakeLists.txt,39,/opt/rocm,medium,untriaged,ROCM_PATH default to /opt/rocm
hiprand,cmake-build,CMakeLists.txt,37,$ENV{ROCM_PATH},medium,untriaged,env var read for ROCM_PATH cache var
hiprand,cmake-build,cmake/Dependencies.cmake,276,/opt/rocm,high,untriaged,ExternalProject CMAKE_PREFIX_PATH=/opt/rocm
hiprand,cmake-build,test/CMakeLists.txt,76,/opt/rocm,low,untriaged,find_program PATHS for clang-offload-bundler
hiprand,cmake-build,test/CMakeLists.txt,84,/opt/rocm,low,untriaged,find_program PATHS for llvm-objcopy
hiprand,cmake-build,test/package/CMakeLists.txt,29,/opt/rocm,medium,untriaged,ROCM_PATH default
hiprand,cmake-build,test/package/CMakeLists.txt,27,$ENV{ROCM_PATH},medium,untriaged,env var for ROCM_PATH
hiprand,cmake-install,library/src/hiprand-fortran-config.cmake.in,32,/opt/rocm,medium,untriaged,/opt/rocm in config template comments (PATHS example)
hiprand,toolchain,toolchain-linux.cmake,9,/opt/rocm,low,untriaged,rocm_bin default
hiprand,toolchain,toolchain-linux.cmake,7,$ENV{ROCM_PATH},low,untriaged,env var for rocm_bin
hiprand,toolchain,toolchain-windows.cmake,7,$ENV{HIP_PATH},low,untriaged,env var for HIP_DIR
hiprand,toolchain,toolchain-windows.cmake,10,$ENV{HIP_DIR},low,untriaged,env var fallback for HIP_DIR
hiprand,python,rmake.py,104,/opt/rocm,low,untriaged,ROCM_PATH env fallback
