project,category,file,line,pattern,severity,status,notes
amdsmi,cmake-build,cmake_modules/help_package.cmake,8,/opt/rocm,medium,untriaged,default ROCM_DIR cache variable overridable
amdsmi,cmake-build,example/CMakeLists.txt,31,/opt/rocm,medium,untriaged,default ROCM_DIR cache variable overridable
amdsmi,cmake-build,example/CMakeLists.txt,81,/opt/rocm,high,untriaged,hardcoded include/link directories in target_include_directories
amdsmi,cmake-build,example/CMakeLists.txt,82,/opt/rocm,high,untriaged,hardcoded link directory in target_link_directories
amdsmi,cmake-build,example/CMakeLists.txt,29,$ENV{ROCM_PATH},medium,untriaged,env var read for ROCM_DIR fallback
amdsmi,python,tools/amdsmi_quick_start.py,44,/opt/rocm,high,untriaged,hardcoded sys.path.append for libexec
amdsmi,python,tools/amdsmi_quick_start.py,45,/opt/rocm,high,untriaged,hardcoded sys.path.append for amdsmi_cli
amdsmi,python,py-interface/amdsmi_interface.py,7052,/opt/rocm,high,untriaged,hardcoded os.path.exists check for librocm-core.so
amdsmi,python,py-interface/amdsmi_interface.py,7053,/opt/rocm,high,untriaged,hardcoded path appended to possible_locations
amdsmi,python,tests/python_unittest/__init__.py,2,/opt/rocm,low,untriaged,test file hardcoded sys.path.append
amdsmi,python,tests/python_unittest/unit_tests.py,30,/opt/rocm,low,untriaged,test file default path with env override
amdsmi,python,tests/python_unittest/integration_test.py,41,/opt/rocm,low,untriaged,test file default path with env override
amdsmi,python,tests/python_unittest/common.py,29,/opt/rocm,low,untriaged,test file default path with env override
amdsmi,python,tests/python_unittest/cli_unit_test.py,33,/opt/rocm,low,untriaged,test file default path with env override
amdsmi,python,tests/python_unittest/perf_tests.py,30,/opt/rocm,low,untriaged,test file hardcoded sys.path.append
amdsmi,python,tests/python_unittest/perf_cputests.py,31,/opt/rocm,low,untriaged,test file hardcoded sys.path.append
amdsmi,cpp-install,goamdsmi_shim/smiwrapper/amdsmi_go_shim.c,41,/opt/rocm,high,untriaged,hardcoded #define for library path
amdsmi,cpp-install,goamdsmi_shim/smiwrapper/amdsmi_go_shim.c,42,/opt/rocm,high,untriaged,hardcoded #define for lib64 library path
amdsmi,cpp-install,goamdsmi.go,27,/opt/rocm,high,untriaged,hardcoded cgo CFLAGS include path
amdsmi,cpp-install,goamdsmi.go,28,/opt/rocm,high,untriaged,hardcoded cgo LDFLAGS library paths
amdsmi,cmake-install,py-interface/pyproject.toml.in,33,/opt/rocm,high,untriaged,config template embeds hardcoded pythonpath
amdsmi,cmake-build,DEBIAN/x86_64-libamd_smi_lib.conf,1,/opt/rocm,low,untriaged,packaging ldconfig path
aqlprofile,cmake-build,dashboard.cmake,40,/opt/rocm,medium,untriaged,default ROCM_PATH in dashboard config
aqlprofile,cmake-build,dashboard.cmake,51,/opt/rocm,high,untriaged,hardcoded CMAKE_PREFIX_PATH and CMAKE_INSTALL_PREFIX and CPACK
aqlprofile,cmake-build,cmake_modules/env.cmake,73,/opt/rocm,high,untriaged,find_package PATHS /opt/rocm for hsa-runtime64
